Stkcd,Trdyear,year_return,overnight_return,intraday_return,year_return_rf,overnight_return_rf,intraday_return_rf,size,BM,ILLIQ,turnover,ESG_score,E_score,S_score,G_score
601107,2015,0.1117114391303397,-0.5233555032832242,1.3323702398496913,0.0967114391303397,-0.5383555032832242,1.3173702398496914,16.373633421693523,0.9053,0.019717,3.94120406,20.2479,9.3023,17.5439,48.2143
601107,2016,-0.1381804043545874,-0.4912161111718487,0.6938814584525985,-0.1531804043545874,-0.5062161111718487,0.6788814584525985,16.208252977588387,0.97,0.023112,1.87224363,27.2727,15.5039,33.3333,48.2143
601107,2017,-0.1666290715510242,-0.1926918333566948,0.032283535436089,-0.1816290715510242,-0.20769183335669478,0.017283535436089,16.002739657650448,1.036,0.023659,0.9375666800000001,29.7521,15.5039,43.8596,48.2143
601107,2018,-0.1307078089051286,-0.2382018853327917,0.1411057265147244,-0.14570780890512858,-0.2532018853327917,0.1261057265147244,15.833918788075394,1.0904,0.063212,0.4804459,29.7521,15.5039,43.8596,48.2143
601107,2019,0.2386972225681893,-0.050770073004303,0.3049496095099486,0.2236972225681893,-0.065770073004303,0.2899496095099486,16.0243491419833,1.0655,0.054509,1.03061219,29.7521,15.5039,43.8596,48.2143
601107,2020,-0.220501734452766,-0.3475140752342759,0.1946591274395896,-0.235501734452766,-0.3625140752342759,0.17965912743958962,15.743767691081096,1.1351,0.047769,0.8248190599999999,29.7521,15.5039,43.8596,48.2143
601111,2020,-0.2227710443300673,-0.2571374273415998,0.0462621005235857,-0.2377710443300673,-0.2721374273415998,0.031262100523585704,18.127870442449517,0.9431,0.003824,1.6126304200000001,39.2562,34.8837,31.5789,57.1429
601117,2020,-0.0597897176918614,-0.1932908715468685,0.1654885870834215,-0.07478971769186141,-0.20829087154686848,0.1504885870834215,17.18131251405588,1.0947,0.00636,1.71700269,23.9669,11.6279,28.0702,48.2143
601118,2020,-0.0203221405445026,-0.3297378123623918,0.4616337867849127,-0.0353221405445026,-0.3447378123623918,0.44663378678491267,16.842103794318497,0.6282,0.01072,2.53763441,26.0331,15.5039,28.0702,48.2143
601126,2012,-0.0978298885798516,-0.2376459725390378,0.1834004660864048,-0.1278298885798516,-0.26764597253903777,0.1534004660864048,14.580938552798324,0.7989,0.127049,1.6968395799999998,21.9008,9.3023,28.0702,44.6429
601126,2013,0.375528438774944,-0.2508613005332279,0.836146550370487,0.345528438774944,-0.2808613005332279,0.806146550370487,15.868765677344122,0.5053,0.058321,3.43770735,21.9008,9.3023,28.0702,44.6429
601126,2014,-0.0841889117043139,-0.2219356201434892,0.1770376745232567,-0.1116889117043139,-0.2494356201434892,0.1495376745232567,15.766257249213249,0.5857,0.030346,2.32391069,20.6612,6.9767,28.0702,44.6429
601126,2015,0.5456783610305083,-0.3338564993517872,1.3203384248685688,0.5306783610305082,-0.3488564993517872,1.3053384248685689,16.19495707231775,0.4395,0.024506,3.87629484,22.314,10.0775,28.0702,44.6429
601126,2016,-0.2561010296376353,-0.2198314355067671,-0.0464894329015019,-0.2711010296376353,-0.2348314355067671,-0.0614894329015019,15.883911824467374,0.5763,0.023308,2.34032516,22.314,10.0775,28.0702,44.6429
601126,2017,-0.1809156024572407,-0.3176868489950933,0.2004523089382324,-0.1959156024572407,-0.3326868489950933,0.1854523089382324,15.666660438272173,0.6953,0.022897,2.8379932400000003,22.314,10.0775,28.0702,44.6429
601126,2018,-0.3314298162353928,-0.3040409910642188,-0.0393540780699913,-0.3464298162353928,-0.3190409910642188,-0.0543540780699913,15.235975758831891,0.9683,0.080994,0.89199991,22.314,10.0775,28.0702,44.6429
601126,2019,0.1211627528102949,0.1833632815047698,-0.0525624967975866,0.1061627528102949,0.1683632815047698,-0.06756249679758661,15.28948577629689,0.9077,0.076658,1.44974991,22.314,10.0775,28.0702,44.6429
601126,2020,0.2895397836962625,-0.2745172776354575,0.7774920669279408,0.2745397836962625,-0.28951727763545754,0.7624920669279408,15.5176707481072,0.8251,0.042388,3.54694227,22.314,10.0775,28.0702,44.6429
601139,2020,-0.0498286673980465,-0.1526477324878223,0.1213415825175667,-0.06482866739804649,-0.16764773248782228,0.1063415825175667,16.85178616865716,0.7529,0.019725,1.01023002,27.686,8.5271,42.1053,57.1429
601158,2020,-0.0390049321098028,-0.0887467685227082,0.0545861838341739,-0.0540049321098028,-0.1037467685227082,0.0395861838341739,17.017280914929536,0.7319,0.031753,0.19764139,23.9669,7.7519,31.5789,53.5714
601168,2020,0.9041598061449572,0.0621978315032498,0.7926602273798102,0.8891598061449572,0.0471978315032498,0.7776602273798102,17.19995302333733,0.7756,0.008647,4.48324239,21.4876,10.0775,21.0526,48.2143
601177,2012,-0.0383554935754824,0.1924785980627139,-0.1935750394289727,-0.0683554935754824,0.1624785980627139,-0.2235750394289727,14.489618945432404,0.7683,0.232071,1.24224441,21.0744,10.8527,22.807,42.8571
601177,2013,-0.2577213452299245,0.0599913102823299,-0.29973137744651,-0.28772134522992454,0.029991310282329903,-0.32973137744651004,14.819229286696615,0.8105,0.165197,1.41762123,25.6198,15.5039,31.5789,42.8571
601177,2014,0.3882600331081356,-0.1879700657284496,0.7096168189335406,0.3607600331081356,-0.2154700657284496,0.6821168189335406,15.144325794998654,0.6694,0.097819,2.09777185,24.7934,13.9535,31.5789,42.8571
601177,2015,0.1635996433443967,-0.6152916078019295,2.024627658097219,0.14859964334439668,-0.6302916078019295,2.009627658097219,15.294534089128383,0.5992,0.030987,6.95168749,22.7273,11.6279,31.5789,39.2857
601177,2016,-0.0346393884560016,-0.4378706918962034,0.7173283755661197,-0.0496393884560016,-0.45287069189620344,0.7023283755661197,15.259279974454559,0.6056,0.030231,4.56134205,22.7273,11.6279,31.5789,39.2857
601177,2017,-0.1519165295895339,-0.3285878426953834,0.2631339203256277,-0.1669165295895339,-0.3435878426953834,0.2481339203256277,15.092140041828083,0.6724,0.040955,2.95087257,22.7273,11.6279,31.5789,39.2857
601177,2018,0.005502993944451,-0.3533202504778803,0.5548700801091939,-0.009497006055548998,-0.3683202504778803,0.5398700801091939,15.094369697155352,0.6778,0.147712,0.96166822,22.7273,11.6279,31.5789,39.2857
601177,2019,0.0456110444446957,-0.1287389629452129,0.2001122510645958,0.0306110444446957,-0.14373896294521288,0.18511225106459578,15.136882911091575,0.6661,0.058859,2.1621458899999997,22.7273,11.6279,31.5789,39.2857
601177,2020,-0.1376858227685173,-0.2967877763238403,0.2262502672715078,-0.15268582276851728,-0.3117877763238403,0.2112502672715078,14.98628337135978,0.7498,0.069116,1.7732601399999999,22.7273,11.6279,31.5789,39.2857
601179,2011,-0.5269985824133334,-0.2255609258140797,-0.389233532561771,-0.5619985824133334,-0.2605609258140797,-0.424233532561771,15.507062876775297,0.9829,0.018561,3.91281159,23.5537,9.3023,22.807,57.1429
601179,2012,-0.0594556958193317,0.0157717889237889,-0.0740594349670057,-0.0894556958193317,-0.014228211076211097,-0.1040594349670057,15.445762350911501,0.9948,0.037177,1.7739298700000001,23.9669,9.3023,28.0702,53.5714
601179,2013,-0.0603495445621037,-0.0181182584674722,-0.0430105625843656,-0.0903495445621037,-0.0481182584674722,-0.0730105625843656,16.47208429000874,1.0455,0.030756,0.82686213,15.7025,6.9767,12.2807,39.2857
601179,2014,1.4306021785298322,0.0445025299817538,1.3270428828662535,1.403102178529832,0.017002529981753802,1.2995428828662534,17.337564469479137,0.6337,0.016237,2.01912407,15.7025,6.9767,12.2807,39.2857
601179,2015,-0.1173071773841235,-0.2483106189689704,0.1742786912928835,-0.1323071773841235,-0.2633106189689704,0.15927869129288352,17.205686425261,0.7104,0.006367,4.9879381,15.7025,6.9767,12.2807,39.2857
601179,2016,-0.158345972698969,-0.2366611263382395,0.1025955264974145,-0.173345972698969,-0.2516611263382395,0.0875955264974145,17.16900201066152,0.803,0.016115,0.84517912,15.7025,6.9767,12.2807,39.2857
601179,2017,-0.2024773792135366,-0.2630170908193665,0.0821453399416549,-0.2174773792135366,-0.2780170908193665,0.0671453399416549,16.924576243599812,0.9438,0.013373,0.74272611,15.7025,6.9767,12.2807,39.2857
601179,2018,-0.2208453250243802,-0.0733204556636107,-0.159197286982755,-0.23584532502438021,-0.0883204556636107,-0.174197286982755,16.661754208230924,1.1111,0.044746,0.31513469,15.7025,6.9767,12.2807,39.2857
